qid,old_original_code,previous_lss_code,locked_lss_code,previous_driver_code,locked_driver_code,locked_driver_name,previous_variable,locked_variable,previous_result_area,locked_result_area,locked_stage_relevance,locked_group_id,handling_rule
225,OP_01,SETUP_ORG_NAME,SETUP_ORG_NAME,SETUP,SETUP,Report setup,SETUP,SETUP,Report setup,Report setup,Report setup,100,profile_or_context_signal; use for report personalisation and interpretation
229,OP_05,R02_D03_Q01,R01_D02_Q01,D03,D02,Legal and receiving route,R02,R01,Legal Readiness,"Context, legal route & compliance",2 Eligibility Checked; 6 Due Diligence,101,profile_or_context_signal; use for report personalisation and interpretation
230,OP_06,R01_D01_Q01,R01_D01_Q01,D01,D01,Operating context and safety,R01,R01,Context & Safety,"Context, legal route & compliance",6 Due Diligence,101,profile_or_context_signal; use for report personalisation and interpretation
232,OP_08,R02_D03_Q02,R01_D02_Q02,D03,D02,Legal and receiving route,R02,R01,Legal Readiness,"Context, legal route & compliance",2 Eligibility Checked; 6 Due Diligence,101,profile_or_context_signal; use for report personalisation and interpretation
233,OP_09,R02_D03_Q03,R01_D02_Q03,D03,D02,Legal and receiving route,R02,R01,Legal Readiness,"Context, legal route & compliance",2 Eligibility Checked; 6 Due Diligence,101,profile_or_context_signal; use for report personalisation and interpretation
234,OP_10,R02_D03_Q04,R01_D02_Q04,D03,D02,Legal and receiving route,R02,R01,Legal Readiness,"Context, legal route & compliance",2 Eligibility Checked; 6 Due Diligence,101,profile_or_context_signal; use for report personalisation and interpretation
235,OP_11,R02_D04_Q01,R01_D02_Q05,D04,D02,Legal and receiving route,R02,R01,Legal Readiness,"Context, legal route & compliance",2 Eligibility Checked; 6 Due Diligence,101,multiple_selection; selected options feed report meaning and flags; do not average blindly
236,OP_12,R02_D04_Q02,R01_D02_Q06,D04,D02,Legal and receiving route,R02,R01,Legal Readiness,"Context, legal route & compliance",2 Eligibility Checked; 6 Due Diligence,101,multiple_selection; selected options feed report meaning and flags; do not average blindly
242,OP_18,R11_D22_Q01,R11_D22_Q01,D22,D22,Finance and risk readiness,R11,R11,Governance & Ops,"Due diligence, finance & risk",6 Due Diligence; 7 Budget / Contract,111,profile_or_context_signal; use for report personalisation and interpretation
244,OP_20,R12_D23_Q01,R12_D24_Q01,D23,D24,Sustainability and adaptive capacity,R12,R12,Financial Health,Grant management & sustainability,7 Budget / Contract; 8 Award / Renewal,112,profile_or_context_signal; use for report personalisation and interpretation
231,OP_07,R01_D01_Q02,R01_D01_Q02,D01,D01,Operating context and safety,R01,R01,Context & Safety,"Context, legal route & compliance",6 Due Diligence,101,multiple_selection; selected options feed report meaning and flags; do not average blindly
237,OP_13,R01_D01_Q03,R01_D01_Q03,D01,D01,Operating context and safety,R01,R01,Context & Safety,"Context, legal route & compliance",6 Due Diligence,101,multiple_selection; selected options feed report meaning and flags; do not average blindly
238,OP_14,R05_D09_Q01,R04_D07_Q01,D09,D07,Mandate and eligibility fit,R05,R04,Funder Fit,Funder fit & work design,2 Eligibility Checked; 4 Proposal Review,104,multiple_selection; selected options feed report meaning and flags; do not average blindly
239,OP_15,R05_D10_Q01,R04_D08_Q01,D10,D08,Work design and grant-size fit,R05,R04,Funder Fit,Funder fit & work design,2 Eligibility Checked; 4 Proposal Review,104,multiple_selection; selected options feed report meaning and flags; do not average blindly
240,OP_16,R09_D18_Q01,R09_D17_Q01,D18,D17,Evidence readiness,R09,R09,Trust Signal,"Coherence, evidence & social proof",4 Proposal Review; 6 Due Diligence,109,multiple_selection; selected options feed report meaning and flags; do not average blindly
243,OP_19,R11_D21_Q01,R11_D21_Q01,D21,D21,Governance and controls,R11,R11,Governance & Ops,"Due diligence, finance & risk",6 Due Diligence; 7 Budget / Contract,111,multiple_selection; selected options feed report meaning and flags; do not average blindly
247,OP_23,R05_D10_Q02,R04_D08_Q02,D10,D08,Work design and grant-size fit,R05,R04,Funder Fit,Funder fit & work design,2 Eligibility Checked; 4 Proposal Review,104,multiple_selection; selected options feed report meaning and flags; do not average blindly
257,OP_33,R01_D02_Q01,R10_D20_Q01,D02,D20,Protected evidence protocol,R01,R10,Context & Safety,Safeguarding & protected proof,6 Due Diligence,110,profile_or_context_signal; use for report personalisation and interpretation
246,OP_22,R05_D10_Q03,R04_D08_Q03,D10,D08,Work design and grant-size fit,R05,R04,Funder Fit,Funder fit & work design,2 Eligibility Checked; 4 Proposal Review,104,profile_or_context_signal; use for report personalisation and interpretation
248,OP_24,R12_D23_Q02,R12_D24_Q02,D23,D24,Sustainability and adaptive capacity,R12,R12,Financial Health,Grant management & sustainability,7 Budget / Contract; 8 Award / Renewal,112,single_choice_score_or_interpretation_signal
249,OP_25,R08_D15_Q01,R07_D13_Q01,D15,D13,Relationship management,R08,R07,Relationship Capital,"Relationship, leadership & visibility",5 Conversation / Clarification; 8 Award / Renewal,107,multiple_selection; selected options feed report meaning and flags; do not average blindly
250,OP_26,R04_D08_Q01,R03_D06_Q01,D08,D06,Go/no-go discipline and repair loop,R04,R03,Pipeline Discipline,Fundraising systems & go/no-go,3 Application Submitted; 4 Proposal Review,103,single_choice_score_or_interpretation_signal
251,OP_27,R04_D08_Q02,R03_D06_Q02,D08,D06,Go/no-go discipline and repair loop,R04,R03,Pipeline Discipline,Fundraising systems & go/no-go,3 Application Submitted; 4 Proposal Review,103,single_choice_score_or_interpretation_signal
261,JB_PRIMARY_BREAK,R04_D08_BREAKPOINT_STAGE,R03_D06_Q03,D08,D06,Go/no-go discipline and repair loop,R04,R03,Pipeline Discipline,Fundraising systems & go/no-go,3 Application Submitted; 4 Proposal Review,103,single_choice_score_or_interpretation_signal
262,AJ_OPPORTUNITY_TYPES,R03_D05_Q01,R02_D03_Q01,D05,D03,Funder market intelligence,R03,R02,Market Intelligence,Funder intelligence & timing,1 Opportunity Found,102,multiple_selection; selected options feed report meaning and flags; do not average blindly
263,AJ_REJECT_FUNDER_TYPES,R03_D05_Q02,R02_D03_Q02,D05,D03,Funder market intelligence,R03,R02,Market Intelligence,Funder intelligence & timing,1 Opportunity Found,102,multiple_selection; selected options feed report meaning and flags; do not average blindly
264,AJ_USUAL_ROUTE,R07_D13_Q01,R06_D11_Q01,D13,D11,Access routes,R07,R06,Network Access,Network position & access routes,1 Opportunity Found; 5 Conversation / Clarification,106,multiple_selection; selected options feed report meaning and flags; do not average blindly
268,AJ_GENERAL_RESULT,R04_D08_Q03,R03_D06_Q04,D08,D06,Go/no-go discipline and repair loop,R04,R03,Pipeline Discipline,Fundraising systems & go/no-go,3 Application Submitted; 4 Proposal Review,103,single_choice_score_or_interpretation_signal
269,AJ_GENERAL_FEEDBACK,R04_D08_Q04,R03_D06_Q05,D08,D06,Go/no-go discipline and repair loop,R04,R03,Pipeline Discipline,Fundraising systems & go/no-go,3 Application Submitted; 4 Proposal Review,103,multiple_selection; selected options feed report meaning and flags; do not average blindly
270,AJ_FOLLOWUP_PATTERN,R08_D15_Q02,R07_D13_Q02,D15,D13,Relationship management,R08,R07,Relationship Capital,"Relationship, leadership & visibility",5 Conversation / Clarification; 8 Award / Renewal,107,single_choice_score_or_interpretation_signal
271,AJ_CHANGED_LAST,R04_D08_Q05,R03_D06_Q06,D08,D06,Go/no-go discipline and repair loop,R04,R03,Pipeline Discipline,Fundraising systems & go/no-go,3 Application Submitted; 4 Proposal Review,103,multiple_selection; selected options feed report meaning and flags; do not average blindly
295,G1_1,R05_D09_Q02,R04_D07_Q02,D09,D07,Mandate and eligibility fit,R05,R04,Funder Fit,Funder fit & work design,2 Eligibility Checked; 4 Proposal Review,104,single_choice_score_or_interpretation_signal
296,G1_2,R05_D09_Q03,R04_D07_Q03,D09,D07,Mandate and eligibility fit,R05,R04,Funder Fit,Funder fit & work design,2 Eligibility Checked; 4 Proposal Review,104,single_choice_score_or_interpretation_signal
297,G1_3,R05_D09_Q04,R04_D07_Q04,D09,D07,Mandate and eligibility fit,R05,R04,Funder Fit,Funder fit & work design,2 Eligibility Checked; 4 Proposal Review,104,single_choice_score_or_interpretation_signal
298,G1_4,R05_D09_Q05,R04_D07_Q05,D09,D07,Mandate and eligibility fit,R05,R04,Funder Fit,Funder fit & work design,2 Eligibility Checked; 4 Proposal Review,104,single_choice_score_or_interpretation_signal
299,G1_5,R05_D10_Q04,R04_D08_Q04,D10,D08,Work design and grant-size fit,R05,R04,Funder Fit,Funder fit & work design,2 Eligibility Checked; 4 Proposal Review,104,single_choice_score_or_interpretation_signal
300,G1_6,R05_D10_Q05,R04_D08_Q05,D10,D08,Work design and grant-size fit,R05,R04,Funder Fit,Funder fit & work design,2 Eligibility Checked; 4 Proposal Review,104,single_choice_score_or_interpretation_signal
301,G1_7,R05_D10_Q06,R04_D08_Q06,D10,D08,Work design and grant-size fit,R05,R04,Funder Fit,Funder fit & work design,2 Eligibility Checked; 4 Proposal Review,104,single_choice_score_or_interpretation_signal
302,G1_8,R05_D10_Q07,R04_D08_Q07,D10,D08,Work design and grant-size fit,R05,R04,Funder Fit,Funder fit & work design,2 Eligibility Checked; 4 Proposal Review,104,single_choice_score_or_interpretation_signal
303,G1_9,R05_D10_Q08,R04_D08_Q08,D10,D08,Work design and grant-size fit,R05,R04,Funder Fit,Funder fit & work design,2 Eligibility Checked; 4 Proposal Review,104,single_choice_score_or_interpretation_signal
304,G1_10,R06_D11_Q01,R05_D09_Q01,D11,D09,Competitive positioning,R06,R05,Competitive Edge,"Competitive positioning, appeal & ROI",4 Proposal Review,105,single_choice_score_or_interpretation_signal
314,G3_1,R10_D19_Q01,R08_D15_Q01,D19,D15,Application clarity and storytelling,R10,R08,Proposal Quality,Application quality & storytelling,3 Application Submitted; 4 Proposal Review,108,single_choice_score_or_interpretation_signal
315,G3_2,R10_D19_Q02,R08_D15_Q02,D19,D15,Application clarity and storytelling,R10,R08,Proposal Quality,Application quality & storytelling,3 Application Submitted; 4 Proposal Review,108,single_choice_score_or_interpretation_signal
316,G3_3,R10_D19_Q03,R08_D15_Q03,D19,D15,Application clarity and storytelling,R10,R08,Proposal Quality,Application quality & storytelling,3 Application Submitted; 4 Proposal Review,108,single_choice_score_or_interpretation_signal
317,G3_4,R09_D18_Q02,R09_D17_Q02,D18,D17,Evidence readiness,R09,R09,Trust Signal,"Coherence, evidence & social proof",4 Proposal Review; 6 Due Diligence,109,single_choice_score_or_interpretation_signal
318,G3_5,R10_D19_Q04,R08_D15_Q04,D19,D15,Application clarity and storytelling,R10,R08,Proposal Quality,Application quality & storytelling,3 Application Submitted; 4 Proposal Review,108,single_choice_score_or_interpretation_signal
319,G3_6,R09_D18_Q03,R09_D17_Q03,D18,D17,Evidence readiness,R09,R09,Trust Signal,"Coherence, evidence & social proof",4 Proposal Review; 6 Due Diligence,109,single_choice_score_or_interpretation_signal
320,G3_7,R09_D18_Q04,R09_D17_Q04,D18,D17,Evidence readiness,R09,R09,Trust Signal,"Coherence, evidence & social proof",4 Proposal Review; 6 Due Diligence,109,single_choice_score_or_interpretation_signal
323,G3_10,R10_D19_Q05,R08_D15_Q05,D19,D15,Application clarity and storytelling,R10,R08,Proposal Quality,Application quality & storytelling,3 Application Submitted; 4 Proposal Review,108,single_choice_score_or_interpretation_signal
321,G3_8,R06_D12_Q01,R05_D10_Q01,D12,D10,Value case and ROI,R06,R05,Competitive Edge,"Competitive positioning, appeal & ROI",4 Proposal Review,105,single_choice_score_or_interpretation_signal
322,G3_9,R10_D20_Q01,R08_D16_Q01,D20,D16,Proposal coherence and budget/story alignment,R10,R08,Proposal Quality,Application quality & storytelling,3 Application Submitted; 4 Proposal Review,108,single_choice_score_or_interpretation_signal
328,G4_5,R09_D18_Q05,R09_D17_Q05,D18,D17,Evidence readiness,R09,R09,Trust Signal,"Coherence, evidence & social proof",4 Proposal Review; 6 Due Diligence,109,single_choice_score_or_interpretation_signal
391,D_READINESS_MATRIX,R01_D02_DOC_READINESS,R10_D20_Q02,D02,D20,Protected evidence protocol,R01,R10,Context & Safety,Safeguarding & protected proof,6 Due Diligence,110,"document_evidence_matrix; protected evidence and N/A are safety modifiers, not failure scores"
226,OP_02,R08_D16_Q01,R07_D14_Q01,D16,D14,Leadership visibility,R08,R07,Relationship Capital,"Relationship, leadership & visibility",5 Conversation / Clarification; 8 Award / Renewal,107,profile_or_context_signal; use for report personalisation and interpretation
313,G2_9,R08_D16_Q02,R07_D14_Q02,D16,D14,Leadership visibility,R08,R07,Relationship Capital,"Relationship, leadership & visibility",5 Conversation / Clarification; 8 Award / Renewal,107,single_choice_score_or_interpretation_signal
332,G4_9,R09_D17_Q01,R09_D18_Q01,D17,D18,Social proof and references,R09,R09,Trust Signal,"Coherence, evidence & social proof",6 Due Diligence,109,single_choice_score_or_interpretation_signal
333,G4_10,R09_D17_Q02,R09_D18_Q02,D17,D18,Social proof and references,R09,R09,Trust Signal,"Coherence, evidence & social proof",6 Due Diligence,109,single_choice_score_or_interpretation_signal
382,G10_6,R08_D15_Q03,R07_D13_Q03,D15,D13,Relationship management,R08,R07,Relationship Capital,"Relationship, leadership & visibility",5 Conversation / Clarification; 8 Award / Renewal,107,single_choice_score_or_interpretation_signal
305,G2_1,R11_D21_Q02,R11_D21_Q02,D21,D21,Governance and controls,R11,R11,Governance & Ops,"Due diligence, finance & risk",6 Due Diligence; 7 Budget / Contract,111,single_choice_score_or_interpretation_signal
306,G2_2,R11_D21_Q03,R11_D21_Q03,D21,D21,Governance and controls,R11,R11,Governance & Ops,"Due diligence, finance & risk",6 Due Diligence; 7 Budget / Contract,111,single_choice_score_or_interpretation_signal
308,G2_4,R11_D22_Q02,R11_D22_Q02,D22,D22,Finance and risk readiness,R11,R11,Governance & Ops,"Due diligence, finance & risk",6 Due Diligence; 7 Budget / Contract,111,single_choice_score_or_interpretation_signal
309,G2_5,R11_D22_Q03,R11_D22_Q03,D22,D22,Finance and risk readiness,R11,R11,Governance & Ops,"Due diligence, finance & risk",6 Due Diligence; 7 Budget / Contract,111,single_choice_score_or_interpretation_signal
311,G2_7,R11_D21_Q04,R11_D21_Q04,D21,D21,Governance and controls,R11,R11,Governance & Ops,"Due diligence, finance & risk",6 Due Diligence; 7 Budget / Contract,111,single_choice_score_or_interpretation_signal
329,G4_6,R11_D21_Q05,R11_D21_Q05,D21,D21,Governance and controls,R11,R11,Governance & Ops,"Due diligence, finance & risk",6 Due Diligence; 7 Budget / Contract,111,single_choice_score_or_interpretation_signal
330,G4_7,R11_D21_Q06,R11_D21_Q06,D21,D21,Governance and controls,R11,R11,Governance & Ops,"Due diligence, finance & risk",6 Due Diligence; 7 Budget / Contract,111,single_choice_score_or_interpretation_signal
310,G2_6,R11_D22_Q04,R11_D22_Q04,D22,D22,Finance and risk readiness,R11,R11,Governance & Ops,"Due diligence, finance & risk",6 Due Diligence; 7 Budget / Contract,111,single_choice_score_or_interpretation_signal
334,G5_1,R12_D24_Q01,R12_D23_Q01,D24,D23,Grant management and renewal,R12,R12,Financial Health,Grant management & sustainability,8 Award / Renewal,112,single_choice_score_or_interpretation_signal
335,G5_2,R12_D24_Q02,R12_D23_Q02,D24,D23,Grant management and renewal,R12,R12,Financial Health,Grant management & sustainability,8 Award / Renewal,112,single_choice_score_or_interpretation_signal
336,G5_3,R12_D24_Q03,R12_D23_Q03,D24,D23,Grant management and renewal,R12,R12,Financial Health,Grant management & sustainability,8 Award / Renewal,112,single_choice_score_or_interpretation_signal
338,G5_5,R12_D24_Q04,R12_D23_Q04,D24,D23,Grant management and renewal,R12,R12,Financial Health,Grant management & sustainability,8 Award / Renewal,112,single_choice_score_or_interpretation_signal
339,G5_6,R11_D22_Q05,R11_D22_Q05,D22,D22,Finance and risk readiness,R11,R11,Governance & Ops,"Due diligence, finance & risk",6 Due Diligence; 7 Budget / Contract,111,single_choice_score_or_interpretation_signal
340,G5_7,R11_D22_Q06,R11_D22_Q06,D22,D22,Finance and risk readiness,R11,R11,Governance & Ops,"Due diligence, finance & risk",6 Due Diligence; 7 Budget / Contract,111,single_choice_score_or_interpretation_signal
341,G5_8,R12_D24_Q05,R12_D23_Q05,D24,D23,Grant management and renewal,R12,R12,Financial Health,Grant management & sustainability,8 Award / Renewal,112,single_choice_score_or_interpretation_signal
342,G5_9,R11_D22_Q07,R11_D22_Q07,D22,D22,Finance and risk readiness,R11,R11,Governance & Ops,"Due diligence, finance & risk",6 Due Diligence; 7 Budget / Contract,111,single_choice_score_or_interpretation_signal
344,G5_11,R12_D23_Q03,R12_D24_Q03,D23,D24,Sustainability and adaptive capacity,R12,R12,Financial Health,Grant management & sustainability,7 Budget / Contract; 8 Award / Renewal,112,single_choice_score_or_interpretation_signal
383,G10_7,R12_D23_Q04,R12_D24_Q04,D23,D24,Sustainability and adaptive capacity,R12,R12,Financial Health,Grant management & sustainability,7 Budget / Contract; 8 Award / Renewal,112,single_choice_score_or_interpretation_signal
350,G6_6,R07_D13_Q02,R06_D11_Q02,D13,D11,Access routes,R07,R06,Network Access,Network position & access routes,1 Opportunity Found; 5 Conversation / Clarification,106,single_choice_score_or_interpretation_signal
351,G6_7,R08_D15_Q04,R07_D13_Q04,D15,D13,Relationship management,R08,R07,Relationship Capital,"Relationship, leadership & visibility",5 Conversation / Clarification; 8 Award / Renewal,107,single_choice_score_or_interpretation_signal
353,G6_9,R07_D14_Q01,R06_D12_Q01,D14,D12,Referrals and intermediaries,R07,R06,Network Access,Network position & access routes,1 Opportunity Found; 5 Conversation / Clarification,106,single_choice_score_or_interpretation_signal
364,G8_1,R03_D05_Q03,R02_D03_Q03,D05,D03,Funder market intelligence,R03,R02,Market Intelligence,Funder intelligence & timing,1 Opportunity Found,102,single_choice_score_or_interpretation_signal
366,G8_3,R03_D06_Q01,R02_D04_Q01,D06,D04,Funder timing and access gates,R03,R02,Market Intelligence,Funder intelligence & timing,1 Opportunity Found,102,single_choice_score_or_interpretation_signal
367,G8_4,R03_D06_Q02,R02_D04_Q02,D06,D04,Funder timing and access gates,R03,R02,Market Intelligence,Funder intelligence & timing,1 Opportunity Found,102,single_choice_score_or_interpretation_signal
368,G8_5,R04_D07_Q01,R03_D05_Q01,D07,D05,Pipeline tracking and ownership,R04,R03,Pipeline Discipline,Fundraising systems & go/no-go,3 Application Submitted,103,single_choice_score_or_interpretation_signal
369,G8_6,R03_D06_Q03,R02_D04_Q03,D06,D04,Funder timing and access gates,R03,R02,Market Intelligence,Funder intelligence & timing,1 Opportunity Found,102,single_choice_score_or_interpretation_signal
370,G8_7,R03_D05_Q04,R02_D03_Q04,D05,D03,Funder market intelligence,R03,R02,Market Intelligence,Funder intelligence & timing,1 Opportunity Found,102,single_choice_score_or_interpretation_signal
385,G11_1,R04_D07_Q02,R03_D05_Q02,D07,D05,Pipeline tracking and ownership,R04,R03,Pipeline Discipline,Fundraising systems & go/no-go,3 Application Submitted,103,single_choice_score_or_interpretation_signal
386,G11_2,R04_D07_Q03,R03_D05_Q03,D07,D05,Pipeline tracking and ownership,R04,R03,Pipeline Discipline,Fundraising systems & go/no-go,3 Application Submitted,103,single_choice_score_or_interpretation_signal
387,G11_3,R04_D07_Q04,R03_D05_Q04,D07,D05,Pipeline tracking and ownership,R04,R03,Pipeline Discipline,Fundraising systems & go/no-go,3 Application Submitted,103,single_choice_score_or_interpretation_signal
345,G6_1,R07_D14_Q02,R06_D12_Q02,D14,D12,Referrals and intermediaries,R07,R06,Network Access,Network position & access routes,1 Opportunity Found; 5 Conversation / Clarification,106,single_choice_score_or_interpretation_signal
5260,PQC_MATRIX,R10_D19_PROPOSAL_QC,R08_D15_PROPOSAL_QC,D19,D15,Application clarity and storytelling,R10,R08,Proposal Quality,Application quality & storytelling,3 Application Submitted; 4 Proposal Review,108,matrix_rows_as_proposal_quality_metrics
357,G7_4,R01_D01_Q04,R01_D01_Q04,D01,D01,Operating context and safety,R01,R01,Context & Safety,"Context, legal route & compliance",6 Due Diligence,101,single_choice_score_or_interpretation_signal
358,G7_5,R01_D01_Q05,R01_D01_Q05,D01,D01,Operating context and safety,R01,R01,Context & Safety,"Context, legal route & compliance",6 Due Diligence,101,single_choice_score_or_interpretation_signal
360,G7_7,R02_D04_Q03,R01_D02_Q07,D04,D02,Legal and receiving route,R02,R01,Legal Readiness,"Context, legal route & compliance",2 Eligibility Checked; 6 Due Diligence,101,single_choice_score_or_interpretation_signal
361,G7_8,R02_D04_Q04,R01_D02_Q08,D04,D02,Legal and receiving route,R02,R01,Legal Readiness,"Context, legal route & compliance",2 Eligibility Checked; 6 Due Diligence,101,single_choice_score_or_interpretation_signal
362,G7_9,R01_D01_Q06,R01_D01_Q06,D01,D01,Operating context and safety,R01,R01,Context & Safety,"Context, legal route & compliance",6 Due Diligence,101,single_choice_score_or_interpretation_signal
363,G7_10,R01_D01_Q07,R01_D01_Q07,D01,D01,Operating context and safety,R01,R01,Context & Safety,"Context, legal route & compliance",6 Due Diligence,101,single_choice_score_or_interpretation_signal
377,G10_1,R12_D23_Q05,R12_D24_Q05,D23,D24,Sustainability and adaptive capacity,R12,R12,Financial Health,Grant management & sustainability,7 Budget / Contract; 8 Award / Renewal,112,single_choice_score_or_interpretation_signal
378,G10_2,R12_D23_Q06,R12_D24_Q06,D23,D24,Sustainability and adaptive capacity,R12,R12,Financial Health,Grant management & sustainability,7 Budget / Contract; 8 Award / Renewal,112,single_choice_score_or_interpretation_signal
379,G10_3,R12_D24_Q06,R12_D23_Q06,D24,D23,Grant management and renewal,R12,R12,Financial Health,Grant management & sustainability,8 Award / Renewal,112,single_choice_score_or_interpretation_signal
381,G10_5,R12_D24_Q07,R12_D23_Q07,D24,D23,Grant management and renewal,R12,R12,Financial Health,Grant management & sustainability,8 Award / Renewal,112,single_choice_score_or_interpretation_signal
5246,RT_MATRIX,R07_D14_ROUTE_READINESS,R06_D12_ROUTE_READINESS,D14,D12,Referrals and intermediaries,R07,R06,Network Access,Network position & access routes,1 Opportunity Found; 5 Conversation / Clarification,106,route_readiness_matrix; use_now/verify/repair/pause/avoid/unsafe feed route recommendation
5267,PAIN_MAIN,R04_D08_MAIN_CONVERSION_PATTERN,R03_D06_MAIN_CONVERSION_PATTERN,D08,D06,Go/no-go discipline and repair loop,R04,R03,Pipeline Discipline,Fundraising systems & go/no-go,3 Application Submitted; 4 Proposal Review,103,single_choice_score_or_interpretation_signal
5268,PAIN_SECONDARY,R04_D08_SECONDARY_CONVERSION_PATTERNS,R03_D06_SECONDARY_CONVERSION_PATTERNS,D08,D06,Go/no-go discipline and repair loop,R04,R03,Pipeline Discipline,Fundraising systems & go/no-go,3 Application Submitted; 4 Proposal Review,103,multiple_selection; selected options feed report meaning and flags; do not average blindly
5281,G2_3_SIGN,R11_D21_Q07,R11_D21_Q07,D21,D21,Governance and controls,R11,R11,Governance & Ops,"Due diligence, finance & risk",6 Due Diligence; 7 Budget / Contract,111,single_choice_score_or_interpretation_signal
5282,G2_3_SPEND,R11_D22_Q08,R11_D22_Q08,D22,D22,Finance and risk readiness,R11,R11,Governance & Ops,"Due diligence, finance & risk",6 Due Diligence; 7 Budget / Contract,111,single_choice_score_or_interpretation_signal
5283,ASSET_MATRIX,R06_D12_ASSET_USE,R05_D10_ASSET_USE,D12,D10,Value case and ROI,R06,R05,Competitive Edge,"Competitive positioning, appeal & ROI",4 Proposal Review,105,matrix_rows_as_positioning_and_value_case_signals
5377,D_CONFIDENCE_MATRIX,R01_D02_DOC_CONFIDENCE,R10_D20_DOC_CONFIDENCE,D02,D20,Protected evidence protocol,R01,R10,Context & Safety,Safeguarding & protected proof,6 Due Diligence,110,"document_evidence_matrix; protected evidence and N/A are safety modifiers, not failure scores"
